function evaluations§best§chromosome§runtime in seconds
2§10000000000§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([0, 7, 8]))§0.000241878
4§6.963811§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([0, 7, 8, 5]))§0.000475768
13§5.8457775§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([0, 7, 5]))§0.001001626
279§5.66619§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([1, 0, 5]))§0.008004278
139471§5.66619§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([1, 0, 5]))§1.3770769
