generation§population average§best§chromosome§function evaluations§runtime in seconds§svg
1§2.800758§2.4901347§Chromosome(steinerPoints=[], includedObstacleCornersIndices=set([7, 17]))§671§0.20431723
4§2.5780795§2.4407153§Chromosome(steinerPoints=[(0.5644297, 0.7226435)], includedObstacleCornersIndices=set([]))§1173§0.2181505
7§2.5262694§2.4361463§Chromosome(steinerPoints=[(0.5644297, 0.7226435)], includedObstacleCornersIndices=set([7]))§1679§0.23102863
9§2.5188785§2.4348276§Chromosome(steinerPoints=[(0.5644297, 0.7226435)], includedObstacleCornersIndices=set([7, 17]))§2016§0.23942888
10§2.5194519§2.4276493§Chromosome(steinerPoints=[(0.5644297, 0.7226435), (0.12793314, 0.29356533)], includedObstacleCornersIndices=set([17]))§2188§0.24392831
14§2.5066676§2.4230802§Chromosome(steinerPoints=[(0.12793314, 0.29356533), (0.5644297, 0.7226435)], includedObstacleCornersIndices=set([17, 7]))§2863§0.26358005
15§2.4941986§2.4062998§Chromosome(steinerPoints=[(0.14995065, 0.33265412), (0.5644297, 0.7226435)], includedObstacleCornersIndices=set([]))§3033§0.26924482
16§2.4924693§2.401757§Chromosome(steinerPoints=[(0.14995065, 0.33265412), (0.5644297, 0.7226435)], includedObstacleCornersIndices=set([7, 6]))§3200§0.27496704
20§2.471894§2.3961098§Chromosome(steinerPoints=[(0.14995065, 0.33265412), (0.5644297, 0.7226435), (0.5046899, 0.8362386)], includedObstacleCornersIndices=set([7]))§3883§0.29740205
33§2.4331372§2.3941078§Chromosome(steinerPoints=[(0.14995065, 0.33265412), (0.5644297, 0.7226435), (0.5046899, 0.8362386), (0.54458016, 0.72617155)], includedObstacleCornersIndices=set([7]))§6114§0.38092983
43§2.4274895§2.3933115§Chromosome(steinerPoints=[(0.5644297, 0.7226435), (0.5046899, 0.8362386), (0.54458016, 0.72617155), (0.14995065, 0.33265412), (0.49693203, 0.8248326)], includedObstacleCornersIndices=set([7]))§7860§0.45250916
203§2.4225526§2.3926356§Chromosome(steinerPoints=[(0.49693203, 0.8248326), (0.14995065, 0.33265412), (0.53244543, 0.7101555)], includedObstacleCornersIndices=set([7]))§37912§1.6272104
216§2.419931§2.3921745§Chromosome(steinerPoints=[(0.14995065, 0.33265412), (0.49693203, 0.8248326), (0.53639215, 0.71811795)], includedObstacleCornersIndices=set([7]))§40511§1.7220372
217§2.423088§2.391683§Chromosome(steinerPoints=[(0.49693203, 0.8248326), (0.53244543, 0.7101555), (0.14995065, 0.33265412), (0.48782867, 0.8125061)], includedObstacleCornersIndices=set([7]))§40712§1.7296383
519§2.416434§2.3869238§Chromosome(steinerPoints=[(0.48782867, 0.8125061), (0.53244543, 0.7101555), (0.14995065, 0.33265412), (0.8672816, 0.66623825)], includedObstacleCornersIndices=set([]))§108316§4.051697
708§2.4072573§2.386055§Chromosome(steinerPoints=[(0.14995065, 0.33265412), (0.48782867, 0.8125061), (0.53244543, 0.7101555), (0.8864205, 0.68494207)], includedObstacleCornersIndices=set([]))§152272§5.5834503
774§2.4057467§2.3843882§Chromosome(steinerPoints=[(0.48782867, 0.8125061), (0.14995065, 0.33265412), (0.53244543, 0.7101555), (0.8752693, 0.6754721)], includedObstacleCornersIndices=set([]))§167596§6.127441
796§2.4053998§2.383587§Chromosome(steinerPoints=[(0.53244543, 0.7101555), (0.48782867, 0.8125061), (0.14995065, 0.33265412), (0.88886064, 0.69334906)], includedObstacleCornersIndices=set([]))§172721§6.329577
862§2.399834§2.3810177§Chromosome(steinerPoints=[(0.14995065, 0.33265412), (0.53244543, 0.7101555), (0.48782867, 0.8125061), (0.84577894, 0.6765219)], includedObstacleCornersIndices=set([]))§187964§6.8633833
879§2.39816§2.3799918§Chromosome(steinerPoints=[(0.14995065, 0.33265412), (0.48782867, 0.8125061), (0.53244543, 0.7101555), (0.8772485, 0.6949341)], includedObstacleCornersIndices=set([]))§191912§7.0018606
882§2.397139§2.3787706§Chromosome(steinerPoints=[(0.53244543, 0.7101555), (0.48782867, 0.8125061), (0.14995065, 0.33265412), (0.87795734, 0.6888643)], includedObstacleCornersIndices=set([]))§192607§7.0258865
932§2.3968055§2.3781736§Chromosome(steinerPoints=[(0.48782867, 0.8125061), (0.53244543, 0.7101555), (0.14995065, 0.33265412), (0.8724873, 0.69129)], includedObstacleCornersIndices=set([]))§204239§7.432343
983§2.398659§2.3774576§Chromosome(steinerPoints=[(0.14995065, 0.33265412), (0.48782867, 0.8125061), (0.53244543, 0.7101555), (0.8624873, 0.68129003)], includedObstacleCornersIndices=set([]))§216097§7.8446527
993§2.3946197§2.3772166§Chromosome(steinerPoints=[(0.8624873, 0.68129003), (0.48782867, 0.8125061), (0.53244543, 0.7101555), (0.14995065, 0.33265412), (0.8724873, 0.69129)], includedObstacleCornersIndices=set([]))§218426§7.918383
1010§2.3911846§2.3764973§Chromosome(steinerPoints=[(0.8624873, 0.68129003), (0.8724873, 0.69129), (0.53244543, 0.7101555), (0.15995066, 0.32265413), (0.48782867, 0.8125061), (0.15936786, 0.33346507)], includedObstacleCornersIndices=set([]))§222405§8.043585
1511§2.3909702§2.3764827§Chromosome(steinerPoints=[(0.8624873, 0.68129003), (0.8724873, 0.69129), (0.15995066, 0.32265413), (0.15936786, 0.33346507), (0.48782867, 0.8125061), (0.52244544, 0.7201555)], includedObstacleCornersIndices=set([]))§338727§12.644769
